sku,custom_label_2,title,price,inv,cat
827929,spyder_curated,Spyder 14008 Diamond Bite 14-Inch Cut-Off Wheel,97.6,5,Cutoff/Grind
827897,spyder_curated,Spyder 13023 6-Inch 12-Tooth Dado Tungsten Carbide Tipped Steel Circular Saw Blade,91.03,5,Circular Blade
856652,spyder_curated,"Spyder 200303-50 6"" 18 TPI Bi-Metal Reciprocating Blade (50 Pack)",90.96,8,KIT/SET
856653,spyder_curated,"Spyder 200302-50 6"" 10-14 TPI Bi-Metal Reciprocating Blade (50 Pack)",90.96,7,KIT/SET
828177,spyder_curated,Spyder 600836 4-3/4-Inch Deep Cut Tungsten Carbide Tipped Hole Saw,89.65,5,Hole Saw
827913,spyder_curated,Spyder 13064CA 12-Inch 100-Tooth Fine Circular Saw Blade,89.26,5,Circular Blade
828231,spyder_curated,"Spyder 600925 9-Piece Carbide Tipped Metal/Wood Cutting RCE Hole Saw Kit (1, 1-1/8, 1-3/8, 1-1/2, 2-Inch)",87.09,3,KIT/SET
827893,spyder_curated,Spyder 13017 7-1/4-Inch 24-Tooth TCT Framing Circular Saw Blade (10-Pack),86.96,4,KIT/SET
827920,spyder_curated,Spyder 13504 10-Inch 50-Tooth TCT Steel Cutting Circular Saw Blade,81.28,5,Circular Blade
818589,spyder_curated,Spyder 600887 13-Piece Bi-Metal Hole Saw Kit with Rapid Core Eject Technology,81.2,5,KIT/SET
656994,spyder_curated,Spyder 600833 4 in. x 6-1/4 in. Deep Carbide Tipped Hole Saw for Wood and Masonry (1 Pack),79.1,8,KIT/SET
828175,spyder_curated,Spyder 600835 4-3/8-Inch Deep Cut Tungsten Carbide Tipped Hole Saw,76.45,5,Hole Saw
828206,spyder_curated,Spyder 600886 11-Piece Bi-Metal Hole Saw Kit,76.28,4,KIT/SET
828172,spyder_curated,Spyder 600832 3-5/8-Inch Deep Cut Tungsten Carbide Tipped Hole Saw,75.83,5,Hole Saw
827976,spyder_curated,Spyder 19025 2-Piece Hex Shank 12 and 13 Step Drill Bit Set (1/8 to 1/2-Inch and 3/16 to 7/8-Inch),73.35,5,KIT/SET
827919,spyder_curated,Spyder 13503 9-Inch 46-Tooth TCT Steel Cutting Circular Saw Blade,72.24,10,Circular Blade
828173,spyder_curated,Spyder 600834 4-1/8-Inch Deep Cut Tungsten Carbide Tipped Hole Saw,71.13,5,Hole Saw
827892,spyder_curated,Spyder 13015 12-Inch 80-Tooth TCT Fine Circular Saw Blade,71.11,5,Circular Blade
828170,spyder_curated,Spyder 600830 3-Inch Deep Cut Tungsten Carbide Tipped Hole Saw,68.75,5,Hole Saw
828171,spyder_curated,Spyder 600831 3-3/8-Inch Deep Cut Tungsten Carbide Tipped Hole Saw,66.84,5,Hole Saw
828020,spyder_curated,Spyder 19071 1/4 to 1-Inch Hex Shank 12 Step Drill Bit,66.79,5,Step Bit
827901,spyder_curated,Spyder 13026 10-Inch 80-Tooth TCT Ultra Fine Circular Saw Blade,62.95,5,Circular Blade
827974,spyder_curated,Spyder 19024 1/4 to 1-3/8-Inch Hex Shank 10 Step Drill Bit,62.88,4,Step Bit
828161,spyder_curated,Spyder 600648-10 Hex8 3/8-Inch HSS Quick Change Hole Saw Arbor Pilot Bit (10-Pack),61.96,5,KIT/SET
828157,spyder_curated,Spyder 600645-10 Hex10 1/2-Inch HSS Quick Change Hole Saw Arbor Pilot Bit (10-Pack),60.92,4,KIT/SET
828163,spyder_curated,Spyder 600649-10 Hex8 3/8-Inch TCT Quick Change Hole Saw Arbor Pilot Bit (10-Pack),60.43,5,KIT/SET
827911,spyder_curated,Spyder 13063 10-Inch 50-Tooth Combination Circular Saw Blade,60.29,5,Circular Blade
827917,spyder_curated,Spyder 13502 7-1/4-Inch 56-Tooth TCT Steel Cutting Circular Saw Blade,59.59,5,Circular Blade
